# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  U1 O2
# Reduced formula:  UO2
# space group: (Fm-3m), space number:  (225)
# abc:  3.856567   3.856567   3.856567
# angles: 60.000000  60.000000  60.000000
# sites: 3
# mp-1597
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
# Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
# Gam_ch=8.104E+00 H-L exch
# Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3617
#           2       0.00000      7.66     24.00     3   3.7252
#           3       0.00000      8.06     24.00     3   4.2899
#           4       0.00000     34.73     24.00     2   4.5222
#           5       0.00000      5.91      8.00     3   4.7233
#           6       0.00000     12.51      8.00     4   4.7233
#           7       0.00000      5.60      8.00     4   4.7233
#           8       0.00000     12.56     48.00     3   4.8054
#          10       0.00000      4.56     96.00     3   5.3702
#          11       0.00000     11.36     24.00     2   5.9434
#    10/  11 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    12.7500   -3.119462E-03  4.182341E-03  4.314046E+01
    12.8000   -2.542702E-03  4.698873E-03  4.341052E+01
    12.8500   -1.442267E-03  5.157244E-03  4.369886E+01
    12.9000    9.727926E-05  5.536852E-03  4.399987E+01
    12.9500    1.872545E-03  5.822259E-03  4.430974E+01
    13.0000    3.601422E-03  6.002625E-03  4.462577E+01
    13.0500    5.013291E-03  6.094726E-03  4.494820E+01
    13.1000    5.836399E-03  6.072999E-03  4.527304E+01
    13.1500    5.931622E-03  5.937838E-03  4.559885E+01
    13.2000    5.305737E-03  5.693383E-03  4.592424E+01
    13.2500    4.108524E-03  5.347315E-03  4.624766E+01
    13.3000    2.594604E-03  4.910600E-03  4.656721E+01
    13.3500    1.060550E-03  4.397233E-03  4.688030E+01
    13.4000   -2.257449E-04  3.824081E-03  4.718296E+01
    13.4500   -1.084820E-03  3.211052E-03  4.746851E+01
    13.5000   -1.459510E-03  2.582212E-03  4.772459E+01
    13.5500   -1.415557E-03  1.969746E-03  4.792575E+01
    13.6000   -1.110963E-03  1.426851E-03  4.801634E+01
    13.6500   -7.444680E-04  1.061983E-03  4.790071E+01
    13.7000   -4.985276E-04  1.030182E-03  4.762902E+01
    13.7500   -4.925950E-04  1.294221E-03  4.751435E+01
    13.8000   -7.583834E-04  1.663148E-03  4.759738E+01
    13.8500   -1.241660E-03  2.029202E-03  4.778235E+01
    13.9000   -1.827197E-03  2.350747E-03  4.801423E+01
    13.9500   -2.377191E-03  2.612056E-03  4.826738E+01
    14.0000   -2.770538E-03  2.809130E-03  4.852874E+01
    14.0500   -2.937288E-03  2.951304E-03  4.879219E+01
    14.1000   -2.850268E-03  3.041726E-03  4.905138E+01
    14.1500   -2.537389E-03  3.092507E-03  4.930320E+01
    14.2000   -2.055172E-03  3.118717E-03  4.954602E+01
    14.2500   -1.464081E-03  3.136740E-03  4.977987E+01
    14.3000   -8.091714E-04  3.161985E-03  5.000670E+01
    14.3500   -1.128088E-04  3.206181E-03  5.023029E+01
    14.4000    6.187790E-04  3.274987E-03  5.045557E+01
    14.4500    1.378889E-03  3.366868E-03  5.068744E+01
    14.5000    2.141411E-03  3.473682E-03  5.092973E+01
    14.5500    2.848474E-03  3.582642E-03  5.118462E+01
    14.6000    3.411410E-03  3.678731E-03  5.145271E+01
    14.6500    3.727071E-03  3.746853E-03  5.173347E+01
    14.7000    3.705836E-03  3.773366E-03  5.202575E+01
    14.7500    3.302875E-03  3.747018E-03  5.232811E+01
    14.8000    2.542124E-03  3.659453E-03  5.263911E+01
    14.8500    1.523745E-03  3.505410E-03  5.295739E+01
    14.9000    4.103487E-04  3.282746E-03  5.328175E+01
    14.9500   -6.063596E-04  2.992322E-03  5.361113E+01
    15.0000   -1.350586E-03  2.637805E-03  5.394460E+01
    15.0500   -1.714886E-03  2.231722E-03  5.428343E+01
    15.1000   -1.665493E-03  1.774846E-03  5.462501E+01
    15.1500   -1.276952E-03  1.277006E-03  5.496864E+01
    15.2000   -7.077062E-04  7.494783E-04  5.531331E+01
    15.2500   -1.597834E-04  2.045692E-04  5.565229E+01
    15.3000    1.742172E-04  3.448762E-04  5.287751E+01
    15.3500    1.626721E-04  8.857751E-04  5.322238E+01
    15.4000   -2.290251E-04  1.405431E-03  5.357076E+01
    15.4500   -9.278463E-04  1.891828E-03  5.391968E+01
    15.5000   -1.770909E-03  2.334055E-03  5.426843E+01
    15.5500   -2.546844E-03  2.722647E-03  5.461655E+01
    15.6000   -3.049563E-03  3.049873E-03  5.496360E+01
    15.6500   -3.130012E-03  3.309978E-03  5.530914E+01
    15.7000   -2.732408E-03  3.499343E-03  5.565267E+01
    15.7500   -1.905968E-03  3.616596E-03  5.599359E+01
    15.8000   -7.901070E-04  3.662637E-03  5.633124E+01
